FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,TIME_PERIOD,OBS_VALUE
Annual,SAU,Saudi Arabia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,78.732
Annual,SEN,Senegal,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,68.683
Annual,SRB,Serbia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,76.22097561
Annual,SYC,Seychelles,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,74.95853659
Annual,SLE,Sierra Leone,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,61.786
Annual,SGP,Singapore,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,82.89512195
Annual,SXM,Sint Maarten (Dutch part),"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,76.371
Annual,SVK,Slovak Republic,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,78.01707317
Annual,SVN,Slovenia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,81.97804878
Annual,SLB,Solomon Islands,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,70.528
Annual,SOM,Somalia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,58.816
Annual,ZAF,South Africa,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,66.139
Annual,SDS,South Sudan,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,57.617
Annual,ESP,Spain,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,83.88292683
Annual,LKA,Sri Lanka,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,77.483
Annual,KNA,St. Kitts and Nevis,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,72.145
Annual,LCA,St. Lucia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,72.697
Annual,MAF,St. Martin (French part),"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,80.224
Annual,VCT,St. Vincent and the Grenadines,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,71.23
Annual,SDN,Sudan,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,66.331
Annual,SUR,Suriname,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,73.631
Annual,SWE,Sweden,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,83.3097561
Annual,CHE,Switzerland,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,84.05609756
Annual,SYR,Syrian Arab Republic,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,72.12
Annual,TJK,Tajikistan,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,71.79
Annual,TZA,Tanzania,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,66.995
Annual,THA,Thailand,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,76.412
Annual,TLS,Timor-Leste,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,67.689
Annual,TGO,Togo,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,62.739
Annual,TON,Tonga,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,72.895
Annual,TTO,Trinidad and Tobago,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,73.49
Annual,TUN,Tunisia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,76.508
Annual,TUR,Turkiye,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,77.156
Annual,TKM,Turkmenistan,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,70.073
Annual,TCA,Turks and Caicos Islands,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,78.008
Annual,TUV,Tuvalu,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,67.105
Annual,UGA,Uganda,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,68.252
Annual,UKR,Ukraine,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,73.422
Annual,ARE,United Arab Emirates,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,82.909
Annual,GBR,United Kingdom,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,81.23809756
Annual,USA,United States,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,78.38536585
Annual,URY,Uruguay,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,78.138
Annual,UZB,Uzbekistan,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,72.388
Annual,VUT,Vanuatu,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,71.477
Annual,VEN,"Venezuela, RB","Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,72.514
Annual,VNM,Viet Nam,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,74.588
Annual,VIR,Virgin Islands (U.S.),"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,80.5195122
Annual,PSE,West Bank and Gaza,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,65.17
Annual,YEM,"Yemen, Rep.","Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,69.295
Annual,ZMB,Zambia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,66.349
Annual,ZWE,Zimbabwe,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,62.775
