REF_AREA,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,TIME_PERIOD,OBS_VALUE
BFA,Burkina Faso,"Life expectancy at birth, total (years)",Total,2023,61.092
BDI,Burundi,"Life expectancy at birth, total (years)",Total,2023,63.651
CPV,Cabo Verde,"Life expectancy at birth, total (years)",Total,2023,76.059
KHM,Cambodia,"Life expectancy at birth, total (years)",Total,2023,70.668
CMR,Cameroon,"Life expectancy at birth, total (years)",Total,2023,63.7
CAN,Canada,"Life expectancy at birth, total (years)",Total,2023,81.64658537
CYM,Cayman Islands,"Life expectancy at birth, total (years)",Total,2023,80.358
CAF,Central African Republic,"Life expectancy at birth, total (years)",Total,2023,57.408
TCD,Chad,"Life expectancy at birth, total (years)",Total,2023,55.069
CHI,Channel Islands,"Life expectancy at birth, total (years)",Total,2023,81.1
CHL,Chile,"Life expectancy at birth, total (years)",Total,2023,81.167
CHN,China,"Life expectancy at birth, total (years)",Total,2023,77.953
COL,Colombia,"Life expectancy at birth, total (years)",Total,2023,77.725
COM,Comoros,"Life expectancy at birth, total (years)",Total,2023,66.777
COD,"Congo, Dem. Rep.","Life expectancy at birth, total (years)",Total,2023,61.895
COG,"Congo, Rep.","Life expectancy at birth, total (years)",Total,2023,65.772
CRI,Costa Rica,"Life expectancy at birth, total (years)",Total,2023,80.799
CIV,Cote d'Ivoire,"Life expectancy at birth, total (years)",Total,2023,61.944
HRV,Croatia,"Life expectancy at birth, total (years)",Total,2023,78.47317073
CUB,Cuba,"Life expectancy at birth, total (years)",Total,2023,78.085
CUW,Curacao,"Life expectancy at birth, total (years)",Total,2023,76.8
CYP,Cyprus,"Life expectancy at birth, total (years)",Total,2023,81.648
CZE,Czechia,"Life expectancy at birth, total (years)",Total,2023,79.87804878
DNK,Denmark,"Life expectancy at birth, total (years)",Total,2023,81.85365854
DJI,Djibouti,"Life expectancy at birth, total (years)",Total,2023,65.987
DMA,Dominica,"Life expectancy at birth, total (years)",Total,2023,71.132
DOM,Dominican Republic,"Life expectancy at birth, total (years)",Total,2023,73.72
ECU,Ecuador,"Life expectancy at birth, total (years)",Total,2023,77.392
EGY,"Egypt, Arab Rep.","Life expectancy at birth, total (years)",Total,2023,71.633
SLV,El Salvador,"Life expectancy at birth, total (years)",Total,2023,72.099
GNQ,Equatorial Guinea,"Life expectancy at birth, total (years)",Total,2023,63.707
ERI,Eritrea,"Life expectancy at birth, total (years)",Total,2023,68.624
EST,Estonia,"Life expectancy at birth, total (years)",Total,2023,78.4902439
SWZ,Eswatini,"Life expectancy at birth, total (years)",Total,2023,64.123
ETH,Ethiopia,"Life expectancy at birth, total (years)",Total,2023,67.315
FRO,Faroe Islands,"Life expectancy at birth, total (years)",Total,2023,83.14390244
FJI,Fiji,"Life expectancy at birth, total (years)",Total,2023,67.316
FIN,Finland,"Life expectancy at birth, total (years)",Total,2023,81.68536585
FRA,France,"Life expectancy at birth, total (years)",Total,2023,82.92926829
PYF,French Polynesia,"Life expectancy at birth, total (years)",Total,2023,84.07
GAB,Gabon,"Life expectancy at birth, total (years)",Total,2023,68.337
GMB,"Gambia, The","Life expectancy at birth, total (years)",Total,2023,65.86
GEO,Georgia,"Life expectancy at birth, total (years)",Total,2023,74.496
DEU,Germany,"Life expectancy at birth, total (years)",Total,2023,80.54146341
GHA,Ghana,"Life expectancy at birth, total (years)",Total,2023,65.498
GIB,Gibraltar,"Life expectancy at birth, total (years)",Total,2023,83.553
GRC,Greece,"Life expectancy at birth, total (years)",Total,2023,81.53658537
GRL,Greenland,"Life expectancy at birth, total (years)",Total,2023,71.5497561
GRD,Grenada,"Life expectancy at birth, total (years)",Total,2023,75.205
GUM,Guam,"Life expectancy at birth, total (years)",Total,2023,77.209
GTM,Guatemala,"Life expectancy at birth, total (years)",Total,2023,72.602
GIN,Guinea,"Life expectancy at birth, total (years)",Total,2023,60.74
