REF_AREA,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,TIME_PERIOD,OBS_VALUE
IRN,Iran,"Life expectancy at birth, male (years)",Male,2023,75.786
IRQ,Iraq,"Life expectancy at birth, male (years)",Male,2023,70.426
IRL,Ireland,"Life expectancy at birth, male (years)",Male,2023,80.372
IMN,Isle of Man,"Life expectancy at birth, male (years)",Male,2023,78.926
ISR,Israel,"Life expectancy at birth, male (years)",Male,2023,80.182
ITA,Italy,"Life expectancy at birth, male (years)",Male,2023,81.568
JAM,Jamaica,"Life expectancy at birth, male (years)",Male,2023,68.975
JPN,Japan,"Life expectancy at birth, male (years)",Male,2023,81.688
JEY,Jersey,"Life expectancy at birth, male (years)",Male,2023,77.72
JOR,Jordan,"Life expectancy at birth, male (years)",Male,2023,75.709
KAZ,Kazakhstan,"Life expectancy at birth, male (years)",Male,2023,70.112
KEN,Kenya,"Life expectancy at birth, male (years)",Male,2023,61.459
KIR,Kiribati,"Life expectancy at birth, male (years)",Male,2023,64.58
OWID_KOS,Kosovo,"Life expectancy at birth, male (years)",Male,2023,75.804
KWT,Kuwait,"Life expectancy at birth, male (years)",Male,2023,79.253
KGZ,Kyrgyzstan,"Life expectancy at birth, male (years)",Male,2023,68.179
LAO,Laos,"Life expectancy at birth, male (years)",Male,2023,66.779
,Latin America and the Caribbean (UN),"Life expectancy at birth, male (years)",Male,2023,72.756
LVA,Latvia,"Life expectancy at birth, male (years)",Male,2023,71.56
,Least developed countries,"Life expectancy at birth, male (years)",Male,2023,64.073
LBN,Lebanon,"Life expectancy at birth, male (years)",Male,2023,75.744
LSO,Lesotho,"Life expectancy at birth, male (years)",Male,2023,54.62
,Less developed regions,"Life expectancy at birth, male (years)",Male,2023,69.313
,"Less developed regions, excluding China","Life expectancy at birth, male (years)",Male,2023,68.013
,"Less developed regions, excluding least developed countries","Life expectancy at birth, male (years)",Male,2023,70.552
LBR,Liberia,"Life expectancy at birth, male (years)",Male,2023,60.875
LBY,Libya,"Life expectancy at birth, male (years)",Male,2023,68.265
LIE,Liechtenstein,"Life expectancy at birth, male (years)",Male,2023,81.837
LTU,Lithuania,"Life expectancy at birth, male (years)",Male,2023,71.216
,Low-income countries,"Life expectancy at birth, male (years)",Male,2023,62.579
,Lower-middle-income countries,"Life expectancy at birth, male (years)",Male,2023,67.648
LUX,Luxembourg,"Life expectancy at birth, male (years)",Male,2023,80.568
MAC,Macao,"Life expectancy at birth, male (years)",Male,2023,80.825
MDG,Madagascar,"Life expectancy at birth, male (years)",Male,2023,61.938
MWI,Malawi,"Life expectancy at birth, male (years)",Male,2023,64.073
MYS,Malaysia,"Life expectancy at birth, male (years)",Male,2023,74.272
MDV,Maldives,"Life expectancy at birth, male (years)",Male,2023,79.691
MLI,Mali,"Life expectancy at birth, male (years)",Male,2023,59.036
MLT,Malta,"Life expectancy at birth, male (years)",Male,2023,81.272
MHL,Marshall Islands,"Life expectancy at birth, male (years)",Male,2023,64.933
MTQ,Martinique,"Life expectancy at birth, male (years)",Male,2023,79.254
MRT,Mauritania,"Life expectancy at birth, male (years)",Male,2023,66.499
MUS,Mauritius,"Life expectancy at birth, male (years)",Male,2023,71.935
MYT,Mayotte,"Life expectancy at birth, male (years)",Male,2023,74.086
MEX,Mexico,"Life expectancy at birth, male (years)",Male,2023,72.243
FSM,Micronesia (country),"Life expectancy at birth, male (years)",Male,2023,63.488
MDA,Moldova,"Life expectancy at birth, male (years)",Male,2023,66.568
MCO,Monaco,"Life expectancy at birth, male (years)",Male,2023,84.448
MNG,Mongolia,"Life expectancy at birth, male (years)",Male,2023,67.244
MNE,Montenegro,"Life expectancy at birth, male (years)",Male,2023,73.735
MSR,Montserrat,"Life expectancy at birth, male (years)",Male,2023,74.112
,More developed regions,"Life expectancy at birth, male (years)",Male,2023,76.721
MAR,Morocco,"Life expectancy at birth, male (years)",Male,2023,73.173
MOZ,Mozambique,"Life expectancy at birth, male (years)",Male,2023,60.301
MMR,Myanmar,"Life expectancy at birth, male (years)",Male,2023,63.79
NAM,Namibia,"Life expectancy at birth, male (years)",Male,2023,63.327
NRU,Nauru,"Life expectancy at birth, male (years)",Male,2023,60.281
NPL,Nepal,"Life expectancy at birth, male (years)",Male,2023,68.835
NLD,Netherlands,"Life expectancy at birth, male (years)",Male,2023,80.538
NCL,New Caledonia,"Life expectancy at birth, male (years)",Male,2023,76.279
NZL,New Zealand,"Life expectancy at birth, male (years)",Male,2023,80.412
NIC,Nicaragua,"Life expectancy at birth, male (years)",Male,2023,72.305
NER,Niger,"Life expectancy at birth, male (years)",Male,2023,60.26
NGA,Nigeria,"Life expectancy at birth, male (years)",Male,2023,54.176
NIU,Niue,"Life expectancy at birth, male (years)",Male,2023,67.429
PRK,North Korea,"Life expectancy at birth, male (years)",Male,2023,71.457
MKD,North Macedonia,"Life expectancy at birth, male (years)",Male,2023,75.106
,Northern America (UN),"Life expectancy at birth, male (years)",Male,2023,77.219
MNP,Northern Mariana Islands,"Life expectancy at birth, male (years)",Male,2023,77.13
NOR,Norway,"Life expectancy at birth, male (years)",Male,2023,81.748
,Oceania (UN),"Life expectancy at birth, male (years)",Male,2023,76.88
OMN,Oman,"Life expectancy at birth, male (years)",Male,2023,78.49
PAK,Pakistan,"Life expectancy at birth, male (years)",Male,2023,65.332
PLW,Palau,"Life expectancy at birth, male (years)",Male,2023,67.154
PSE,Palestine,"Life expectancy at birth, male (years)",Male,2023,59.691
PAN,Panama,"Life expectancy at birth, male (years)",Male,2023,76.654
PNG,Papua New Guinea,"Life expectancy at birth, male (years)",Male,2023,63.739
PRY,Paraguay,"Life expectancy at birth, male (years)",Male,2023,70.886
PER,Peru,"Life expectancy at birth, male (years)",Male,2023,75.413
PHL,Philippines,"Life expectancy at birth, male (years)",Male,2023,66.893
POL,Poland,"Life expectancy at birth, male (years)",Male,2023,74.877
PRT,Portugal,"Life expectancy at birth, male (years)",Male,2023,79.437
PRI,Puerto Rico,"Life expectancy at birth, male (years)",Male,2023,78.032
QAT,Qatar,"Life expectancy at birth, male (years)",Male,2023,81.611
REU,Reunion,"Life expectancy at birth, male (years)",Male,2023,80.531
ROU,Romania,"Life expectancy at birth, male (years)",Male,2023,72.397
RUS,Russia,"Life expectancy at birth, male (years)",Male,2023,67.256
RWA,Rwanda,"Life expectancy at birth, male (years)",Male,2023,65.493
BLM,Saint Barthelemy,"Life expectancy at birth, male (years)",Male,2023,81.462
SHN,Saint Helena,"Life expectancy at birth, male (years)",Male,2023,73.869
KNA,Saint Kitts and Nevis,"Life expectancy at birth, male (years)",Male,2023,68.573
LCA,Saint Lucia,"Life expectancy at birth, male (years)",Male,2023,69.311
MAF,Saint Martin (French part),"Life expectancy at birth, male (years)",Male,2023,76.766
SPM,Saint Pierre and Miquelon,"Life expectancy at birth, male (years)",Male,2023,72.753
VCT,Saint Vincent and the Grenadines,"Life expectancy at birth, male (years)",Male,2023,68.664
WSM,Samoa,"Life expectancy at birth, male (years)",Male,2023,69.861
SMR,San Marino,"Life expectancy at birth, male (years)",Male,2023,84.206
STP,Sao Tome and Principe,"Life expectancy at birth, male (years)",Male,2023,66.239
SAU,Saudi Arabia,"Life expectancy at birth, male (years)",Male,2023,77.097
SEN,Senegal,"Life expectancy at birth, male (years)",Male,2023,66.79
SRB,Serbia,"Life expectancy at birth, male (years)",Male,2023,73.5
SYC,Seychelles,"Life expectancy at birth, male (years)",Male,2023,69.937
SLE,Sierra Leone,"Life expectancy at birth, male (years)",Male,2023,60.065
SGP,Singapore,"Life expectancy at birth, male (years)",Male,2023,81.24
SXM,Sint Maarten (Dutch part),"Life expectancy at birth, male (years)",Male,2023,73.698
SVK,Slovakia,"Life expectancy at birth, male (years)",Male,2023,75.022
SVN,Slovenia,"Life expectancy at birth, male (years)",Male,2023,78.896
SLB,Solomon Islands,"Life expectancy at birth, male (years)",Male,2023,69.217
SOM,Somalia,"Life expectancy at birth, male (years)",Male,2023,56.35
ZAF,South Africa,"Life expectancy at birth, male (years)",Male,2023,62.609
KOR,South Korea,"Life expectancy at birth, male (years)",Male,2023,81.194
SSD,South Sudan,"Life expectancy at birth, male (years)",Male,2023,54.636
ESP,Spain,"Life expectancy at birth, male (years)",Male,2023,80.962
LKA,Sri Lanka,"Life expectancy at birth, male (years)",Male,2023,74.244
SDN,Sudan,"Life expectancy at birth, male (years)",Male,2023,63.272
SUR,Suriname,"Life expectancy at birth, male (years)",Male,2023,70.458
SWE,Sweden,"Life expectancy at birth, male (years)",Male,2023,81.444
CHE,Switzerland,"Life expectancy at birth, male (years)",Male,2023,82.009
SYR,Syria,"Life expectancy at birth, male (years)",Male,2023,69.829
TWN,Taiwan,"Life expectancy at birth, male (years)",Male,2023,77.628
TJK,Tajikistan,"Life expectancy at birth, male (years)",Male,2023,69.574
TZA,Tanzania,"Life expectancy at birth, male (years)",Male,2023,64.198
THA,Thailand,"Life expectancy at birth, male (years)",Male,2023,72.161
TGO,Togo,"Life expectancy at birth, male (years)",Male,2023,62.536
TKL,Tokelau,"Life expectancy at birth, male (years)",Male,2023,74.954
TON,Tonga,"Life expectancy at birth, male (years)",Male,2023,69.37
TTO,Trinidad and Tobago,"Life expectancy at birth, male (years)",Male,2023,70.378
TUN,Tunisia,"Life expectancy at birth, male (years)",Male,2023,73.918
TUR,Turkey,"Life expectancy at birth, male (years)",Male,2023,74.529
TKM,Turkmenistan,"Life expectancy at birth, male (years)",Male,2023,66.871
TCA,Turks and Caicos Islands,"Life expectancy at birth, male (years)",Male,2023,75.826
TUV,Tuvalu,"Life expectancy at birth, male (years)",Male,2023,63.765
UGA,Uganda,"Life expectancy at birth, male (years)",Male,2023,65.268
UKR,Ukraine,"Life expectancy at birth, male (years)",Male,2023,66.9
ARE,United Arab Emirates,"Life expectancy at birth, male (years)",Male,2023,81.978
GBR,United Kingdom,"Life expectancy at birth, male (years)",Male,2023,79.362
USA,United States,"Life expectancy at birth, male (years)",Male,2023,76.864
VIR,United States Virgin Islands,"Life expectancy at birth, male (years)",Male,2023,70.513
,Upper-middle-income countries,"Life expectancy at birth, male (years)",Male,2023,72.866
URY,Uruguay,"Life expectancy at birth, male (years)",Male,2023,74.192
UZB,Uzbekistan,"Life expectancy at birth, male (years)",Male,2023,69.45
VUT,Vanuatu,"Life expectancy at birth, male (years)",Male,2023,69.445
VAT,Vatican,"Life expectancy at birth, male (years)",Male,2023,80.778
VEN,Venezuela,"Life expectancy at birth, male (years)",Male,2023,68.72
VNM,Vietnam,"Life expectancy at birth, male (years)",Male,2023,69.877
WLF,Wallis and Futuna,"Life expectancy at birth, male (years)",Male,2023,77.661
ESH,Western Sahara,"Life expectancy at birth, male (years)",Male,2023,69.688
OWID_WRL,World,"Life expectancy at birth, male (years)",Male,2023,70.547
YEM,Yemen,"Life expectancy at birth, male (years)",Male,2023,67.235
ZMB,Zambia,"Life expectancy at birth, male (years)",Male,2023,63.936
ZWE,Zimbabwe,"Life expectancy at birth, male (years)",Male,2023,60.226
AFG,Afghanistan,"Life expectancy at birth, female (years)",Female,2023,67.536
,Africa (UN),"Life expectancy at birth, female (years)",Female,2023,65.907
ALB,Albania,"Life expectancy at birth, female (years)",Female,2023,81.446
DZA,Algeria,"Life expectancy at birth, female (years)",Female,2023,77.696
ASM,American Samoa,"Life expectancy at birth, female (years)",Female,2023,75.838
AND,Andorra,"Life expectancy at birth, female (years)",Female,2023,86.107
AGO,Angola,"Life expectancy at birth, female (years)",Female,2023,67.144
AIA,Anguilla,"Life expectancy at birth, female (years)",Female,2023,82.664
ATG,Antigua and Barbuda,"Life expectancy at birth, female (years)",Female,2023,80.294
ARG,Argentina,"Life expectancy at birth, female (years)",Female,2023,79.875
ARM,Armenia,"Life expectancy at birth, female (years)",Female,2023,79.454
ABW,Aruba,"Life expectancy at birth, female (years)",Female,2023,78.779
,Asia (UN),"Life expectancy at birth, female (years)",Female,2023,77.197
AUS,Australia,"Life expectancy at birth, female (years)",Female,2023,85.737
AUT,Austria,"Life expectancy at birth, female (years)",Female,2023,84.319
AZE,Azerbaijan,"Life expectancy at birth, female (years)",Female,2023,77.134
BHS,Bahamas,"Life expectancy at birth, female (years)",Female,2023,78.187
BHR,Bahrain,"Life expectancy at birth, female (years)",Female,2023,81.987
BGD,Bangladesh,"Life expectancy at birth, female (years)",Female,2023,76.373
BRB,Barbados,"Life expectancy at birth, female (years)",Female,2023,78.615
BLR,Belarus,"Life expectancy at birth, female (years)",Female,2023,79.065
BEL,Belgium,"Life expectancy at birth, female (years)",Female,2023,84.329
BLZ,Belize,"Life expectancy at birth, female (years)",Female,2023,76.495
BEN,Benin,"Life expectancy at birth, female (years)",Female,2023,62.208
BMU,Bermuda,"Life expectancy at birth, female (years)",Female,2023,85.742
BTN,Bhutan,"Life expectancy at birth, female (years)",Female,2023,74.965
BOL,Bolivia,"Life expectancy at birth, female (years)",Female,2023,71.145
BES,Bonaire Sint Eustatius and Saba,"Life expectancy at birth, female (years)",Female,2023,80.163
BIH,Bosnia and Herzegovina,"Life expectancy at birth, female (years)",Female,2023,80.903
BWA,Botswana,"Life expectancy at birth, female (years)",Female,2023,71.698
BRA,Brazil,"Life expectancy at birth, female (years)",Female,2023,78.983
VGB,British Virgin Islands,"Life expectancy at birth, female (years)",Female,2023,80.049
BRN,Brunei,"Life expectancy at birth, female (years)",Female,2023,77.555
BGR,Bulgaria,"Life expectancy at birth, female (years)",Female,2023,79.213
BFA,Burkina Faso,"Life expectancy at birth, female (years)",Female,2023,63.222
BDI,Burundi,"Life expectancy at birth, female (years)",Female,2023,65.697
KHM,Cambodia,"Life expectancy at birth, female (years)",Female,2023,73.187
CMR,Cameroon,"Life expectancy at birth, female (years)",Female,2023,65.944
CAN,Canada,"Life expectancy at birth, female (years)",Female,2023,84.83
CPV,Cape Verde,"Life expectancy at birth, female (years)",Female,2023,79.209
CYM,Cayman Islands,"Life expectancy at birth, female (years)",Female,2023,82.867
CAF,Central African Republic,"Life expectancy at birth, female (years)",Female,2023,59.29
TCD,Chad,"Life expectancy at birth, female (years)",Female,2023,57.014
CHL,Chile,"Life expectancy at birth, female (years)",Female,2023,83.084
CHN,China,"Life expectancy at birth, female (years)",Female,2023,80.926
COL,Colombia,"Life expectancy at birth, female (years)",Female,2023,80.452
COM,Comoros,"Life expectancy at birth, female (years)",Female,2023,68.932
COG,Congo,"Life expectancy at birth, female (years)",Female,2023,67.461
COK,Cook Islands,"Life expectancy at birth, female (years)",Female,2023,79.049
CRI,Costa Rica,"Life expectancy at birth, female (years)",Female,2023,83.42
CIV,Cote d'Ivoire,"Life expectancy at birth, female (years)",Female,2023,64.132
HRV,Croatia,"Life expectancy at birth, female (years)",Female,2023,81.688
CUB,Cuba,"Life expectancy at birth, female (years)",Female,2023,80.52
CUW,Curacao,"Life expectancy at birth, female (years)",Female,2023,80.823
CYP,Cyprus,"Life expectancy at birth, female (years)",Female,2023,83.668
CZE,Czechia,"Life expectancy at birth, female (years)",Female,2023,82.641
COD,Democratic Republic of Congo,"Life expectancy at birth, female (years)",Female,2023,64.038
DNK,Denmark,"Life expectancy at birth, female (years)",Female,2023,83.855
DJI,Djibouti,"Life expectancy at birth, female (years)",Female,2023,68.51
DMA,Dominica,"Life expectancy at birth, female (years)",Female,2023,74.545
DOM,Dominican Republic,"Life expectancy at birth, female (years)",Female,2023,76.975
TLS,East Timor,"Life expectancy at birth, female (years)",Female,2023,69.436
ECU,Ecuador,"Life expectancy at birth, female (years)",Female,2023,80.139
EGY,Egypt,"Life expectancy at birth, female (years)",Female,2023,73.809
SLV,El Salvador,"Life expectancy at birth, female (years)",Female,2023,76.264
GNQ,Equatorial Guinea,"Life expectancy at birth, female (years)",Female,2023,65.661
ERI,Eritrea,"Life expectancy at birth, female (years)",Female,2023,70.656
EST,Estonia,"Life expectancy at birth, female (years)",Female,2023,83.043
SWZ,Eswatini,"Life expectancy at birth, female (years)",Female,2023,66.953
ETH,Ethiopia,"Life expectancy at birth, female (years)",Female,2023,70.726
,Europe (UN),"Life expectancy at birth, female (years)",Female,2023,82.563
FLK,Falkland Islands,"Life expectancy at birth, female (years)",Female,2023,81.24
FRO,Faroe Islands,"Life expectancy at birth, female (years)",Female,2023,82.504
FJI,Fiji,"Life expectancy at birth, female (years)",Female,2023,69.362
FIN,Finland,"Life expectancy at birth, female (years)",Female,2023,84.665
FRA,France,"Life expectancy at birth, female (years)",Female,2023,86.088
GUF,French Guiana,"Life expectancy at birth, female (years)",Female,2023,79.99
PYF,French Polynesia,"Life expectancy at birth, female (years)",Female,2023,86.505
GAB,Gabon,"Life expectancy at birth, female (years)",Female,2023,71.052
GMB,Gambia,"Life expectancy at birth, female (years)",Female,2023,67.534
GEO,Georgia,"Life expectancy at birth, female (years)",Female,2023,79.107
DEU,Germany,"Life expectancy at birth, female (years)",Female,2023,83.756
GHA,Ghana,"Life expectancy at birth, female (years)",Female,2023,67.943
GIB,Gibraltar,"Life expectancy at birth, female (years)",Female,2023,86.143
GRC,Greece,"Life expectancy at birth, female (years)",Female,2023,84.331
GRL,Greenland,"Life expectancy at birth, female (years)",Female,2023,72.439
GRD,Grenada,"Life expectancy at birth, female (years)",Female,2023,78.359
GLP,Guadeloupe,"Life expectancy at birth, female (years)",Female,2023,85.531
GUM,Guam,"Life expectancy at birth, female (years)",Female,2023,81.419
GTM,Guatemala,"Life expectancy at birth, female (years)",Female,2023,74.877
GGY,Guernsey,"Life expectancy at birth, female (years)",Female,2023,85.576
GIN,Guinea,"Life expectancy at birth, female (years)",Female,2023,61.897
GNB,Guinea-Bissau,"Life expectancy at birth, female (years)",Female,2023,66.362
GUY,Guyana,"Life expectancy at birth, female (years)",Female,2023,73.944
HTI,Haiti,"Life expectancy at birth, female (years)",Female,2023,68.3
,High-income countries,"Life expectancy at birth, female (years)",Female,2023,84.052
HND,Honduras,"Life expectancy at birth, female (years)",Female,2023,75.501
HKG,Hong Kong,"Life expectancy at birth, female (years)",Female,2023,88.129
HUN,Hungary,"Life expectancy at birth, female (years)",Female,2023,80.189
ISL,Iceland,"Life expectancy at birth, female (years)",Female,2023,84.506
IND,India,"Life expectancy at birth, female (years)",Female,2023,73.598
IDN,Indonesia,"Life expectancy at birth, female (years)",Female,2023,73.268
IRN,Iran,"Life expectancy at birth, female (years)",Female,2023,79.628
IRQ,Iraq,"Life expectancy at birth, female (years)",Female,2023,74.055
IRL,Ireland,"Life expectancy at birth, female (years)",Female,2023,84.478
IMN,Isle of Man,"Life expectancy at birth, female (years)",Female,2023,83.134
ISR,Israel,"Life expectancy at birth, female (years)",Female,2023,84.59
ITA,Italy,"Life expectancy at birth, female (years)",Female,2023,85.746
JAM,Jamaica,"Life expectancy at birth, female (years)",Female,2023,73.994
JPN,Japan,"Life expectancy at birth, female (years)",Female,2023,87.741
JEY,Jersey,"Life expectancy at birth, female (years)",Female,2023,81.758
JOR,Jordan,"Life expectancy at birth, female (years)",Female,2023,80.192
KAZ,Kazakhstan,"Life expectancy at birth, female (years)",Female,2023,78.394
KEN,Kenya,"Life expectancy at birth, female (years)",Female,2023,65.92
KIR,Kiribati,"Life expectancy at birth, female (years)",Female,2023,68.17
OWID_KOS,Kosovo,"Life expectancy at birth, female (years)",Female,2023,80.118
KWT,Kuwait,"Life expectancy at birth, female (years)",Female,2023,81.846
KGZ,Kyrgyzstan,"Life expectancy at birth, female (years)",Female,2023,75.249
LAO,Laos,"Life expectancy at birth, female (years)",Female,2023,71.25
,Latin America and the Caribbean (UN),"Life expectancy at birth, female (years)",Female,2023,78.639
LVA,Latvia,"Life expectancy at birth, female (years)",Female,2023,80.472
,Least developed countries,"Life expectancy at birth, female (years)",Female,2023,68.661
LBN,Lebanon,"Life expectancy at birth, female (years)",Female,2023,79.734
LSO,Lesotho,"Life expectancy at birth, female (years)",Female,2023,60.007
,Less developed regions,"Life expectancy at birth, female (years)",Female,2023,74.26
,"Less developed regions, excluding China","Life expectancy at birth, female (years)",Female,2023,72.508
,"Less developed regions, excluding least developed countries","Life expectancy at birth, female (years)",Female,2023,75.442
LBR,Liberia,"Life expectancy at birth, female (years)",Female,2023,63.444
LBY,Libya,"Life expectancy at birth, female (years)",Female,2023,70.416
LIE,Liechtenstein,"Life expectancy at birth, female (years)",Female,2023,85.321
LTU,Lithuania,"Life expectancy at birth, female (years)",Female,2023,80.675
,Low-income countries,"Life expectancy at birth, female (years)",Female,2023,67.32
,Lower-middle-income countries,"Life expectancy at birth, female (years)",Female,2023,71.613
LUX,Luxembourg,"Life expectancy at birth, female (years)",Female,2023,83.836
MAC,Macao,"Life expectancy at birth, female (years)",Female,2023,85.249
MDG,Madagascar,"Life expectancy at birth, female (years)",Female,2023,65.377
MWI,Malawi,"Life expectancy at birth, female (years)",Female,2023,70.562
MYS,Malaysia,"Life expectancy at birth, female (years)",Female,2023,79.37
MDV,Maldives,"Life expectancy at birth, female (years)",Female,2023,82.819
MLI,Mali,"Life expectancy at birth, female (years)",Female,2023,61.9
MLT,Malta,"Life expectancy at birth, female (years)",Female,2023,85.259
MHL,Marshall Islands,"Life expectancy at birth, female (years)",Female,2023,69.334
MTQ,Martinique,"Life expectancy at birth, female (years)",Female,2023,85.618
MRT,Mauritania,"Life expectancy at birth, female (years)",Female,2023,70.484
MUS,Mauritius,"Life expectancy at birth, female (years)",Female,2023,78.18
MYT,Mayotte,"Life expectancy at birth, female (years)",Female,2023,78.331
MEX,Mexico,"Life expectancy at birth, female (years)",Female,2023,77.811
FSM,Micronesia (country),"Life expectancy at birth, female (years)",Female,2023,71.119
MDA,Moldova,"Life expectancy at birth, female (years)",Female,2023,75.535
MCO,Monaco,"Life expectancy at birth, female (years)",Female,2023,88.504
MNG,Mongolia,"Life expectancy at birth, female (years)",Female,2023,76.43
MNE,Montenegro,"Life expectancy at birth, female (years)",Female,2023,80.31
MSR,Montserrat,"Life expectancy at birth, female (years)",Female,2023,78.813
,More developed regions,"Life expectancy at birth, female (years)",Female,2023,83.049
MAR,Morocco,"Life expectancy at birth, female (years)",Female,2023,77.6
MOZ,Mozambique,"Life expectancy at birth, female (years)",Female,2023,66.544
MMR,Myanmar,"Life expectancy at birth, female (years)",Female,2023,70.164
NAM,Namibia,"Life expectancy at birth, female (years)",Female,2023,71.337
NRU,Nauru,"Life expectancy at birth, female (years)",Female,2023,64.003
NPL,Nepal,"Life expectancy at birth, female (years)",Female,2023,71.837
NLD,Netherlands,"Life expectancy at birth, female (years)",Female,2023,83.739
NCL,New Caledonia,"Life expectancy at birth, female (years)",Female,2023,81.286
NZL,New Zealand,"Life expectancy at birth, female (years)",Female,2023,83.77
NIC,Nicaragua,"Life expectancy at birth, female (years)",Female,2023,77.418
NER,Niger,"Life expectancy at birth, female (years)",Female,2023,62.129
NGA,Nigeria,"Life expectancy at birth, female (years)",Female,2023,54.743
NIU,Niue,"Life expectancy at birth, female (years)",Female,2023,72.71
PRK,North Korea,"Life expectancy at birth, female (years)",Female,2023,75.744
MKD,North Macedonia,"Life expectancy at birth, female (years)",Female,2023,79.57
,Northern America (UN),"Life expectancy at birth, female (years)",Female,2023,82.156
MNP,Northern Mariana Islands,"Life expectancy at birth, female (years)",Female,2023,80.74
NOR,Norway,"Life expectancy at birth, female (years)",Female,2023,84.849
,Oceania (UN),"Life expectancy at birth, female (years)",Female,2023,81.511
OMN,Oman,"Life expectancy at birth, female (years)",Female,2023,81.882
PAK,Pakistan,"Life expectancy at birth, female (years)",Female,2023,70.163
PLW,Palau,"Life expectancy at birth, female (years)",Female,2023,71.798
PSE,Palestine,"Life expectancy at birth, female (years)",Female,2023,71.502
PAN,Panama,"Life expectancy at birth, female (years)",Female,2023,82.557
PNG,Papua New Guinea,"Life expectancy at birth, female (years)",Female,2023,69.085
PRY,Paraguay,"Life expectancy at birth, female (years)",Female,2023,76.953
PER,Peru,"Life expectancy at birth, female (years)",Female,2023,80.123
PHL,Philippines,"Life expectancy at birth, female (years)",Female,2023,72.819
POL,Poland,"Life expectancy at birth, female (years)",Female,2023,82.354
PRT,Portugal,"Life expectancy at birth, female (years)",Female,2023,85.118
PRI,Puerto Rico,"Life expectancy at birth, female (years)",Female,2023,85.243
QAT,Qatar,"Life expectancy at birth, female (years)",Female,2023,83.368
REU,Reunion,"Life expectancy at birth, female (years)",Female,2023,86.333
ROU,Romania,"Life expectancy at birth, female (years)",Female,2023,79.555
RUS,Russia,"Life expectancy at birth, female (years)",Female,2023,79.037
RWA,Rwanda,"Life expectancy at birth, female (years)",Female,2023,69.886
BLM,Saint Barthelemy,"Life expectancy at birth, female (years)",Female,2023,86.81
SHN,Saint Helena,"Life expectancy at birth, female (years)",Female,2023,80.622
KNA,Saint Kitts and Nevis,"Life expectancy at birth, female (years)",Female,2023,76.023
LCA,Saint Lucia,"Life expectancy at birth, female (years)",Female,2023,76.304
MAF,Saint Martin (French part),"Life expectancy at birth, female (years)",Female,2023,83.839
SPM,Saint Pierre and Miquelon,"Life expectancy at birth, female (years)",Female,2023,81.516
VCT,Saint Vincent and the Grenadines,"Life expectancy at birth, female (years)",Female,2023,74.315
WSM,Samoa,"Life expectancy at birth, female (years)",Female,2023,73.662
SMR,San Marino,"Life expectancy at birth, female (years)",Female,2023,87.1
STP,Sao Tome and Principe,"Life expectancy at birth, female (years)",Female,2023,73.728
SAU,Saudi Arabia,"Life expectancy at birth, female (years)",Female,2023,81.156
SEN,Senegal,"Life expectancy at birth, female (years)",Female,2023,70.754
SRB,Serbia,"Life expectancy at birth, female (years)",Female,2023,80.042
SYC,Seychelles,"Life expectancy at birth, female (years)",Female,2023,76.515
SLE,Sierra Leone,"Life expectancy at birth, female (years)",Female,2023,63.502
SGP,Singapore,"Life expectancy at birth, female (years)",Female,2023,86.236
SXM,Sint Maarten (Dutch part),"Life expectancy at birth, female (years)",Female,2023,79.531
SVK,Slovakia,"Life expectancy at birth, female (years)",Female,2023,81.581
SVN,Slovenia,"Life expectancy at birth, female (years)",Female,2023,84.337
SLB,Solomon Islands,"Life expectancy at birth, female (years)",Female,2023,71.982
SOM,Somalia,"Life expectancy at birth, female (years)",Female,2023,61.388
ZAF,South Africa,"Life expectancy at birth, female (years)",Female,2023,69.599
KOR,South Korea,"Life expectancy at birth, female (years)",Female,2023,87.158
SSD,South Sudan,"Life expectancy at birth, female (years)",Female,2023,60.627
ESP,Spain,"Life expectancy at birth, female (years)",Female,2023,86.312
LKA,Sri Lanka,"Life expectancy at birth, female (years)",Female,2023,80.593
SDN,Sudan,"Life expectancy at birth, female (years)",Female,2023,69.626
SUR,Suriname,"Life expectancy at birth, female (years)",Female,2023,76.835
SWE,Sweden,"Life expectancy at birth, female (years)",Female,2023,85.101
CHE,Switzerland,"Life expectancy at birth, female (years)",Female,2023,85.833
SYR,Syria,"Life expectancy at birth, female (years)",Female,2023,74.412
TWN,Taiwan,"Life expectancy at birth, female (years)",Female,2023,83.607
TJK,Tajikistan,"Life expectancy at birth, female (years)",Female,2023,73.976
TZA,Tanzania,"Life expectancy at birth, female (years)",Female,2023,69.775
THA,Thailand,"Life expectancy at birth, female (years)",Female,2023,80.861
TGO,Togo,"Life expectancy at birth, female (years)",Female,2023,62.923
TKL,Tokelau,"Life expectancy at birth, female (years)",Female,2023,78.922
TON,Tonga,"Life expectancy at birth, female (years)",Female,2023,76.405
TTO,Trinidad and Tobago,"Life expectancy at birth, female (years)",Female,2023,76.683
TUN,Tunisia,"Life expectancy at birth, female (years)",Female,2023,79.149
TUR,Turkey,"Life expectancy at birth, female (years)",Female,2023,79.855
TKM,Turkmenistan,"Life expectancy at birth, female (years)",Female,2023,72.839
TCA,Turks and Caicos Islands,"Life expectancy at birth, female (years)",Female,2023,80.297
TUV,Tuvalu,"Life expectancy at birth, female (years)",Female,2023,70.698
